NUM,DATE,FLIGHT,REG,FROM,TO,DIST,DEP,ARR,AIRLINE,AIRCRAFT,SEAT,TICKET,REASON,iata_code,name_rus,name_eng,city_rus,city_eng,country_rus,latitude,longitude
1,30.03.2012,RD432,,TJM,DME,1695,,,UTA,B738,A,,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
2,21.09.2012,UFR68,,VKO,IEV,737,,,AUI,E190,W,E,L,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
3,23.09.2012,ае532,,KBP,DXB,3492,,,AUI,B738,W,E,L,KBP,Борисполь,Borispol,Борисполь,Borispol,Украина,50.345,30.894722
4,26.09.2012,DT654,,DXB,DEL,2187,,,IGO,A320,M,E,L,DXB,Дубай,Dubai,Дубай,Dubai,ОАЭ,25.252778,55.364444
5,27.09.2012,IU646,,DEL,BKK,2952,,,IGO,A320,W,E,L,DEL,,Indira Gandhi Intl,Нью Дели,New Delhi,Индия,28.568728,77.112136
6,31.10.2012,UD435,,HKT,USM,251,,,BKP,AT7X,W,E,B,HKT,,Phuket International,Пхукет,Phuket,Таиланд,8.1132,98.316872
7,02.12.2012,UR457,,BKK,IKT,4307,,,SBI,A320,W,E,L,BKK,,Suvarnabhumi International,Бангкок,Bangkok,Таиланд,13.685833,100.748889
8,03.12.2012,IU786,,IKT,DME,4213,,,SBI,A320,W,E,L,IKT,Иркутск,Irkutsk,Иркутск,Irkutsk,Россия,52.268028,104.388975
9,03.12.2012,IY654,,DME,TJM,1695,,,SBI,A319,W,E,L,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
10,13.02.2013,YF532,,TJM,SLY,1049,,,LLM,A320,W,E,B,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
11,16.02.2013,YF432,,SLY,TJM,1049,,,LLM,A320,M,E,B,SLY,Салехард,Salekhard,Салехард,Salekhard,Россия,66.590753,66.611042
12,02.04.2013,YU678,,DME,TJM,1695,,,SBI,A319,W,E,B,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
13,07.07.2013,AF1501,,TJM,SVO,1706,,,AFL,SU95,W,E,L,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
14,14.08.2013,,,LED,PKV,248,,,PSW,,W,E,L,LED,Пулково,Pulkovo,Санкт-Петербург,St Petersburg,Россия,59.800292,30.262503
15,07.10.2013,S70202,,TJM,DME,1695,,,SBI,A320,W,E,B,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
16,08.10.2013,UG789,,SVO,TFS,525,,,TSO,B763,M,E,B,SVO,Шереметьево,Sheremetyevo,Москва,Moscow,Россия,55.972642,37.414589
17,25.10.2013,UD537,,BER,SVO,16,,,TSO,B738,W,E,B,BER,,Berlin Metropolitan Area,Берлин,Berlin,Германия,52.517,13.4
18,27.10.2013,S70203,,DME,TJM,1695,,,SBI,A319,W,E,B,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
19,08.11.2013,UN-1111,,SVO,JFK,749,11:10:00,12:15:00,TSO,B764,W,E,L,SVO,Шереметьево,Sheremetyevo,Москва,Moscow,Россия,55.972642,37.414589
20,11.11.2013,US44,,JFK,CLT,872,,,AWE,A321,,E,,JFK,,John F Kennedy Intl,Нью-Йорк,New York,США,40.639751,-73.778926
21,11.11.2013,US452,,CLT,FLL,102,,,AWE,B73X,,E,,CLT,,Charlotte Douglas,Шарлотт,Charlotte,США,35.21375,-80.949055
22,20.11.2013,RF432,,FLL,CUN,885,,,NKS,A321,M,E,L,FLL,,Fort Lauderdale/Hollywood International,Форт Лодердейл,Fort Lauderdale,США,26.072583,-80.15275
23,22.11.2013,SP234,,CUN,FLL,885,,,NKS,A321,M,E,L,CUN,,Cancъn International,Канкун,Cancun,Мексика,21.036528,-86.877082
24,24.11.2013,US1234,,FLL,LAX,3767,,,NKS,A319,A,E,L,FLL,,Fort Lauderdale/Hollywood International,Форт Лодердейл,Fort Lauderdale,США,26.072583,-80.15275
25,27.11.2013,UA1228,757-300,LAX,HNL,4113,04:45:00,08:45:00,UAL,B753,A,E,L,LAX,,Los Angeles International,,"Los Angeles, Ca",США,33.942522,-118.407161
26,28.11.2013,UA1345,,HNL,GUM,6116,,,UAL,B777,W,E,L,HNL,,Honolulu International,Гонолулу,Honolulu,США,21.318681,-157.922429
28,01.12.2013,SE342,,MNL,CEB,568,22:30:00,,CEB,A319,A,E,L,MNL,,Ninoy Aquino Intl,,Manila,Филиппины,14.508647,121.019581
29,02.12.2013,PH452,,CEB,MNL,568,,,CEB,A319,,E,,CEB,,Mactan-Cebu International,Кебу,Cebu,Филиппины,10.307542,123.979439
30,03.12.2013,PH544,,MNL,BKK,2189,,,PAL,A330,,E,,MNL,,Ninoy Aquino Intl,,Manila,Филиппины,14.508647,121.019581
31,30.12.2013,CZ374,,SGN,CAN,1568,15:30:00,17:45:00,CSN,B738,W,E,,SGN,,Tan Son Nhat International,Хо Чи Мин Сити,Ho Chi Minh City,Вьетнам,10.818797,106.651856
32,31.12.2013,CZ355,,CAN,SVO,7012,02:35:00,,CSN,A330,A,E,,CAN,,New Baiyun,Гуанчжоу,Guangzhou,Китай,23.392436,113.298786
33,02.01.2014,A355,,SVO,TJM,1706,,,AFL,A320,W,E,L,SVO,Шереметьево,Sheremetyevo,Москва,Moscow,Россия,55.972642,37.414589
34,05.06.2014,SU6452N,,TJM,LED,2037,05:45:00,06:50:00,AFL,B732,W,E,L,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
35,13.06.2014,YHG,,HEL,OSL,764,06:10:00,,FIN,E145,W,E,L,HEL,Хельсинки-Вантаа,Helsinki-Vantaa,,Vantaa,Финляндия,60.317222,24.963333
36,16.06.2014,UN649,,OSL,HEL,764,12:40:00,,FIN,E145,A,E,L,OSL,,"Oslo Airport, Gardermoen",Осло,Oslo,Норвегия,60.193917,11.100361
37,22.06.2014,SU5456,,LED,TJM,2037,23:45:00,04:45:00,AFL,A319,W,E,L,LED,Пулково,Pulkovo,Санкт-Петербург,St Petersburg,Россия,59.800292,30.262503
38,07.07.2014,UT449,,TJM,LED,2037,08:00:00,09:05:00,UTA,B735,W,E,B,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
39,19.01.2015,DR448,,TJM,VKO,1727,,,AFL,B738,A,E,B,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
40,20.01.2015,UN0571,,VKO,HKT,7482,22:55:00,,TSO,B744,W,E,L,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
41,19.02.2015,DR448,,BKK,OVB,486,,,SBI,B763,M,E,L,BKK,,Suvarnabhumi International,Бангкок,Bangkok,Таиланд,13.685833,100.748889
42,03.05.2015,DR448,,TJM,VKO,1727,22:20:00,,AFL,B738,M,E,L,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
43,11.05.2015,UN563,,DME,BCN,3032,,,VLG,A320,W,E,L,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
44,11.05.2015,RU521,,BCN,LPA,2177,,,VLG,A320,W,E,L,BCN,,El Prat De Llobregat,Барселона,Barcelona,Испания,41.297078,2.078464
45,18.05.2015,не468,,BCN,DME,3032,,,VLG,A320,A,E,L,BCN,,El Prat De Llobregat,Барселона,Barcelona,Испания,41.297078,2.078464
46,18.05.2015,YT468,,LPA,BCN,2177,,,VLG,A320,A,E,L,LPA,,Gran Canaria,,Las Palmas,Испания,27.931886,-15.386586
47,19.05.2015,UN563,,SVO,TJM,1706,,,AFL,A320,W,E,L,SVO,Шереметьево,Sheremetyevo,Москва,Moscow,Россия,55.972642,37.414589
48,04.06.2015,,,LED,PKV,248,,,,,,,,LED,Пулково,Pulkovo,Санкт-Петербург,St Petersburg,Россия,59.800292,30.262503
49,06.06.2015,,,PKV,LED,248,,,PSW,,W,E,L,PKV,Псков,Pskov,Псков,Pskov,Россия,57.783917,28.395614
50,10.02.2016,,,TJM,VKO,1727,,,AFL,B738,A,E,L,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
51,12.02.2016,,,VKO,KGD,658,,,AFL,B738,W,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
52,19.02.2016,,,KGD,VKO,658,,,AFL,B738,W,EL,,KGD,Калининград,Kaliningrad,Калининград,Kaliningrad,Россия,54.89005,20.592633
53,19.02.2016,,,VKO,OGZ,917,,,AFL,B738,W,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
54,01.03.2016,,,MRV,DME,807,,,SBI,A319,M,EL,,MRV,Минеральные Воды,Mineralnye Vodyj,Минеральные Воды,Mineralnye Vody,Россия,44.225072,43.081889
55,02.03.2016,,,DME,TJM,1053,,,LLM,CRJ2,W,EL,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
56,28.03.2016,,,TJM,DME,1053,,,SBI,A320,W,EB,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
57,31.03.2016,,,VKO,LED,389,,,AFL,A319,A,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
58,31.03.2016,,,LED,TJM,1266,,,AFL,A319,W,EL,,LED,Пулково,Pulkovo,Санкт-Петербург,St Petersburg,Россия,59.800292,30.262503
59,06.12.2016,,,SVX,AYT,1946,,,SDM,B738,W,EL,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
60,13.12.2016,FV5866,,AYT,SVX,1946,08:00:00,,SDM,B738,W,EL,,AYT,Анталия,Antalya,Анталия,Antalya,Турция,36.898731,30.800461
61,17.01.2017,,,TJM,DME,1053,06:15:00,,SBI,A320,M,EL,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
62,21.01.2017,,,DME,ATH,1373,,,AEE,A320,W,EL,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
63,22.01.2017,,,ATH,ISL,334,,,AEE,A319,W,EL,,ATH,,Eleftherios Venizelos,Афины,Athens,Греция,37.936358,23.944467
64,23.01.2017,,,SAW,DIA,1675,,,PGT,A320,A,EL,,SAW,,Sabiha Gokcen,Стамбул,Istanbul,Турция,40.898553,29.309219
66,24.01.2017,,,DXB,MLE,1892,,,FDB,B738,W,EL,,DXB,Дубай,Dubai,Дубай,Dubai,ОАЭ,25.252778,55.364444
67,24.01.2017,,,MLE,CMB,484,,,FDB,B738,W,EL,,MLE,,Male International,Мале,Male,Мальдивы,4.191833,73.529128
68,07.02.2017,,,CMB,KUL,1534,,,,,,,,CMB,,Bandaranayake,Коломбо,Colombo,Шри-Ланка,7.180189,79.8853
69,08.02.2017,,,KUL,HKG,1583,,,AIQ,A320,W,EL,,KUL,,Kuala Lumpur International Airport (klia),Куала-Лумпур,Kuala Lumpur,Малайзия,2.745578,101.709917
70,10.02.2017,,,HKG,SIN,1596,,,JST,A320,W,EL,,HKG,,Hong Kong International,Гонконг,Hong Kong,Гонконг,22.308889,113.914722
71,13.02.2017,,,SIN,DPS,104,,,JST,A320,W,EL,,SIN,,Changi,Сингапур,Singapore,Сингапур,1.350189,103.994433
72,22.02.2017,,,DPS,SYD,2876,,,VOZ,B738,A,EL,,DPS,,Ngurah Rai International,,"Denpasar, Bali",Индонезия,-8.748168,115.167172
73,25.02.2017,,,SYD,HNL,5083,,,JST,B788,W,EL,,SYD,,Kingsford Smith,Сидней,Sydney,Австралия,-33.946111,151.177222
74,01.03.2017,,,HNL,LAX,2556,,,AAL,A321,A,EL,,HNL,,Honolulu International,Гонолулу,Honolulu,США,21.318681,-157.922429
75,14.03.2017,,,LAX,CUN,2119,,,AIJ,A320,W,EL,,LAX,,Los Angeles International,,"Los Angeles, Ca",США,33.942522,-118.407161
76,19.03.2017,,,CUN,HAV,317,,,AIJ,A320,W,EL,,CUN,,Cancъn International,Канкун,Cancun,Мексика,21.036528,-86.877082
77,22.03.2017,,,HAV,JFK,132,,,DAL,A319,W,EL,,HAV,,Jose Marti Intl,Гавана,Havana,Куба,22.989153,-82.409086
78,22.03.2017,,,JFK,CPH,385,,,IBK,B787,W,EL,,JFK,,John F Kennedy Intl,Нью-Йорк,New York,США,40.639751,-73.778926
79,23.03.2017,,,CPH,RIX,444,,,BTI,DH8D,W,EL,,CPH,,Kastrup,Копенгаген,Copenhagen,Дания,55.617917,12.655972
80,23.03.2017,,,RIX,SVO,517,,,BTI,A320,W,EL,,RIX,Рига,Riga,Рига,Riga,Латвия,56.923611,23.971111
81,25.03.2017,,,DME,TJM,1053,,,SBI,A320,M,EL,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
82,08.04.2017,,,TJM,DME,1053,06:15:00,,SBI,A319,M,EL,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
83,24.04.2017,,,LED,DME,414,,,SBI,B738,M,EB,,LED,Пулково,Pulkovo,Санкт-Петербург,St Petersburg,Россия,59.800292,30.262503
84,03.05.2017,,,DME,TJM,1053,,,SBI,A319,W,EL,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
85,25.05.2017,,,TJM,DME,1053,,,SBI,A319,A,EB,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
86,25.07.2017,,,TJM,SVO,106,,,AFL,A321,W,EL,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
87,18.09.2017,,,TJM,AER,1455,,,RWZ,T204,W,EB,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
88,14.03.2018,,,TJM,DME,1053,,,SBI,A319,M,EL,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
89,18.03.2018,,,VKO,TJM,1073,00:05:00,04:55:00,UTA,B734,W,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
90,03.07.2018,,,TJM,VKO,1073,06:05:00,07:15:00,UTA,B735,W,BL,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
91,04.07.2018,,,VKO,PKC,4218,19:20:00,12:30:00,SDM,B773,W,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
92,14.08.2018,,,PKC,VKO,4218,15:25:00,15:05:00,SDM,B773,W,EL,,PKC,Елизово,Yelizovo,Петропавловск-Камчатский,Petropavlovsk-Kamchats,Россия,53.167889,158.453669
93,14.08.2018,,,SVO,SVX,894,23:05:00,03:45:00,NWS,E190,M,EL,,SVO,Шереметьево,Sheremetyevo,Москва,Moscow,Россия,55.972642,37.414589
94,15.09.2018,,,SVX,DME,885,,,SBI,A319,A,EB,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
95,17.09.2018,,,VKO,SVX,905,,,PBD,B738,A,EB,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
96,29.11.2018,,,SVX,VKO,905,,,PBD,B738,M,EB,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
97,02.12.2018,,,VKO,AYT,1329,08:00:00,,PBD,B738,A,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
98,04.12.2018,,,AYT,ASR,288,06:50:00,,PGT,B738,M,E,,AYT,Анталия,Antalya,Анталия,Antalya,Турция,36.898731,30.800461
99,07.12.2018,,,ASR,SAW,360,,,AJA,B738,W,EL,,ASR,,Erkilet International Airport,Кайсери,Kayseri,Турция,38.770386,35.495428
100,10.12.2018,,,SAW,ADB,214,17:25:00,18:35:00,THY,B738,W,EL,,SAW,,Sabiha Gokcen,Стамбул,Istanbul,Турция,40.898553,29.309219
101,23.12.2018,,,AYT,VKO,1329,,,PBD,B738,W,EL,,AYT,Анталия,Antalya,Анталия,Antalya,Турция,36.898731,30.800461
102,23.12.2018,,,VKO,SVX,905,,,PBD,B738,M,EL,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
103,22.03.2019,S756,,SVX,DME,885,20:00:00,20:30:00,SBI,,M,EB,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
104,25.03.2019,S755,VP-BTV,DME,SVX,885,14:40:00,19:05:00,SBI,A319,A,EB,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
105,23.09.2019,,,SVX,DME,885,,,SBI,,W,EB,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
106,29.09.2019,,,DME,SVX,885,,,SBI,,W,EB,,DME,Домодедово,Domodedovo,Москва,Moscow,Россия,55.408786,37.906314
107,04.02.2020,,,SVX,KRR,1234,05:05:00,,PBD,B738,M,EL,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
108,17.03.2020,,,AER,SVX,1295,,,SVR,,W,EL,,AER,Адлер - Сочи,Adler - Sochi,Адлер,Adler,Россия,43.444444,39.946944
109,25.10.2020,DP450,VQ-BTC,TJM,VKO,1073,06:25:00,07:20:00,FCA,B738,M,EB,,TJM,Рощино,Roschino,Тюмень,Tyumen,Россия,57.189567,65.324299
110,26.10.2020,DP449,VP-BPX,VKO,TJM,1073,00:40:00,05:25:00,FCA,B738,A,EB,,VKO,Внуково,Vnukovo,Москва,Moscow,Россия,55.591531,37.261486
111,02.06.2021,U6150,VQ-BQN,GDZ,SVX,1296,17:10:00,22:05:00,SVR,A320,A,EL,,GDZ,Геленджик,Gelendzik,Геленджик,Gelendzik,Россия,44.570278,38.012222
112,21.07.2022,,,AER,TJM,1455,,,NWS,A320,A,EL,,AER,Адлер - Сочи,Adler - Sochi,Адлер,Adler,Россия,43.444444,39.946944
113,17.10.2022,,,SVX,OGZ,1175,,,RWZ,SU95,A,EO,,SVX,Кольцово,Koltsovo International Airport,Екатеринбург,Ekaterinburg,Россия,56.743056,60.803056
