num,user_id,register_dt,LTV,is_churn,channel,cost_of_utilization
1015,13360,2020-03-01,594.0876404353987,0,Контекстная реклама,690.0510112598222
59,12404,2020-01-04,599.3856345619588,0,Контекстная реклама,681.0444212446702
55,12400,2020-01-04,601.7562250563053,0,Контекстная реклама,677.0144174042811
1591,13936,2020-04-05,585.1504926695063,1,Email рассылка,207.42475366524684
2851,15196,2020-06-19,598.7989671368755,1,Email рассылка,200.60051643156228
2523,14868,2020-05-30,586.1025092338941,0,ТВ,2069.4874538305294
3613,15958,2020-08-03,584.8903229423602,0,Поиск,41.510967705763974
1961,14306,2020-04-26,568.3790949554422,0,Контекстная реклама,733.7555385757483
1254,13599,2020-03-14,581.6356592105434,1,Контекстная реклама,711.2193793420762
450,12795,2020-01-27,614.6768748254262,0,Контекстная реклама,655.0493127967753
1173,13518,2020-03-09,586.6420332253908,1,Email рассылка,206.67898338730458
2764,15109,2020-06-13,572.1242712365097,1,Email рассылка,213.93786438174513
2770,15115,2020-06-13,562.8915587037075,0,ТВ,2185.542206481463
690,13035,2020-02-11,596.2343456422606,1,Поиск,40.37656543577394
1472,13817,2020-03-28,586.9683670792174,0,Контекстная реклама,702.1537759653305
3330,15675,2020-07-18,562.6952565487434,1,Контекстная реклама,743.4180638671362
2300,14645,2020-05-17,603.2478573628455,0,Контекстная реклама,674.4786424831626
1924,14269,2020-04-24,604.4781798162658,0,Email рассылка,197.76091009186712
1253,13598,2020-03-14,605.9167107945824,0,Email рассылка,197.0416446027088
2651,14996,2020-06-06,562.9754023249486,1,ТВ,2185.1229883752567
1282,13627,2020-03-16,612.3411203842987,1,Поиск,38.76588796157013
2958,15303,2020-06-25,587.6359608392779,0,Контекстная реклама,701.0188665732276
3684,16029,2020-08-07,578.7007528938148,0,Контекстная реклама,716.208720080515
2347,14692,2020-05-20,564.1001413646836,0,Контекстная реклама,741.0297596800377
3650,15995,2020-08-05,561.4949618913724,0,Email рассылка,219.25251905431378
3064,15409,2020-07-01,560.9666441836871,0,Email рассылка,219.51667790815648
1460,13805,2020-03-27,580.7303962625882,1,ТВ,2096.348018687059
2967,15312,2020-06-25,588.657121241179,1,Поиск,41.1342878758821
3417,15762,2020-07-23,559.8608072870195,1,Контекстная реклама,748.2366276120669
1209,13554,2020-03-12,595.7648062181165,0,Контекстная реклама,687.1998294292018
2273,14618,2020-05-15,568.40504953607,0,Контекстная реклама,733.7114157886808
325,12670,2020-01-20,618.7966989735028,0,Email рассылка,190.60165051324864
134,12479,2020-01-08,583.5395365819106,0,Email рассылка,208.23023170904472
668,13013,2020-02-09,579.9036529244966,1,ТВ,2100.481735377517
3569,15914,2020-08-01,559.9299298190879,0,Поиск,44.007007018091215
3568,15913,2020-08-01,555.4789380821127,1,Контекстная реклама,755.6858052604084
749,13094,2020-02-14,591.7860799586747,0,Контекстная реклама,693.963664070253
893,13238,2020-02-22,583.4836224093452,0,Контекстная реклама,708.0778419041131
2599,14944,2020-06-03,578.4867076349317,0,Email рассылка,210.75664618253413
311,12656,2020-01-19,606.1979222755886,0,Email рассылка,196.9010388622057
3756,16101,2020-08-12,552.0482508808811,0,ТВ,2239.7587455955945
3273,15618,2020-07-14,572.8922023371181,1,Поиск,42.7107797662882
1778,14123,2020-04-16,569.9624309749121,0,Контекстная реклама,731.0638673426495
239,12584,2020-01-15,592.9690644183861,0,Контекстная реклама,691.9525904887436
2591,14936,2020-06-03,567.5935546655021,1,Контекстная реклама,735.0909570686463
2270,14615,2020-05-15,598.4767770093083,1,Email рассылка,200.76161149534582
474,12819,2020-01-28,585.1143799712729,0,Email рассылка,207.44281001436354
155,12500,2020-01-10,594.7015112228765,0,ТВ,2026.4924438856174
1051,13396,2020-03-03,579.4463168544235,0,Поиск,42.05536831455766
2424,14769,2020-05-24,585.0064005029897,1,Контекстная реклама,705.4891191449175
1324,13669,2020-03-19,601.4502632629797,1,Контекстная реклама,677.5345524529347
3596,15941,2020-08-03,581.0668805928091,1,Контекстная реклама,712.1863029922246
640,12985,2020-02-08,582.5947825470387,1,Email рассылка,208.7026087264807
3776,16121,2020-08-13,548.5515008729051,0,Email рассылка,225.72424956354743
425,12770,2020-01-25,614.90717919253,0,ТВ,1925.4641040373504
